                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.88033,                0.57337,                 1.0141,                0.97678,                0.94644,                0.98942,                0.84191,                0.67044,                0.39492,                0.90433,             0.00050263,             0.00050263,             0.00050263
                    124,                0.87454,                0.57839,                 1.0078,                0.97532,                 0.9575,                0.98976,                0.83223,                0.68267,                0.40534,                0.90682,             0.00049025,             0.00049025,             0.00049025
                    125,                0.86563,                0.56406,                 1.0066,                0.96239,                0.95968,                0.99005,                0.83635,                0.66202,                 0.3962,                0.90217,             0.00047787,             0.00047787,             0.00047787
                    126,                0.87612,                0.58284,                  1.012,                0.95308,                 0.9625,                 0.9887,                0.84181,                0.64664,                0.38687,                0.89506,              0.0004655,              0.0004655,              0.0004655
                    127,                0.85573,                0.57656,                 1.0006,                0.94873,                0.97146,                 0.9889,                0.83633,                0.66875,                0.39239,                0.90323,             0.00045313,             0.00045313,             0.00045313
                    128,                0.85213,                0.55608,                 1.0007,                0.98467,                0.96374,                0.99129,                0.84576,                0.64688,                0.37336,                0.89871,             0.00044075,             0.00044075,             0.00044075
                    129,                0.86205,                0.56168,                 1.0097,                0.95573,                0.97143,                0.98878,                 0.8344,                0.65421,                0.38913,                0.90141,             0.00042838,             0.00042838,             0.00042838
                    130,                 0.8568,                0.56284,                0.99942,                0.97061,                  0.965,                0.99032,                 0.8435,                0.65442,                0.37326,                0.89774,               0.000416,               0.000416,               0.000416
                    131,                0.84264,                0.54827,                  1.004,                0.94474,                0.98295,                0.98927,                0.84269,                0.64699,                0.37309,                0.89511,             0.00040362,             0.00040362,             0.00040362
                    132,                0.83836,                0.55024,                 1.0019,                0.96727,                0.96062,                0.99063,                0.84105,                0.67208,                0.37706,                0.90502,             0.00039125,             0.00039125,             0.00039125
                    133,                0.84209,                0.55186,                0.99707,                0.98386,                   0.97,                0.99154,                0.84921,                0.64469,                0.35889,                 0.8909,             0.00037888,             0.00037888,             0.00037888
                    134,                0.83528,                0.54207,                0.99571,                0.97743,                0.97424,                0.99221,                0.85117,                0.62661,                0.35275,                0.88862,              0.0003665,              0.0003665,              0.0003665
                    135,                0.84302,                0.54389,                0.99537,                0.97728,                0.96803,                0.99251,                0.85087,                0.63824,                0.35421,                0.88678,             0.00035412,             0.00035412,             0.00035412
                    136,                0.82011,                 0.5372,                0.98925,                0.96934,                   0.98,                0.99216,                0.85657,                0.62347,                0.35132,                0.88589,             0.00034175,             0.00034175,             0.00034175
                    137,                0.82336,                0.52485,                0.98967,                0.98471,                0.96625,                0.99205,                0.85858,                0.61866,                0.34491,                0.88052,             0.00032938,             0.00032938,             0.00032938
                    138,                0.80802,                 0.5239,                0.98794,                0.97246,                0.97108,                0.99144,                0.85287,                0.61606,                0.35127,                 0.8855,               0.000317,               0.000317,               0.000317
                    139,                0.82216,                0.54207,                0.99765,                0.98283,                   0.96,                0.99147,                0.85801,                0.61389,                0.35142,                 0.8789,             0.00030463,             0.00030463,             0.00030463
                    140,                0.82006,                0.52947,                0.99294,                0.97648,                 0.9675,                0.99248,                 0.8585,                0.61026,                0.34629,                0.88131,             0.00029225,             0.00029225,             0.00029225
                    141,                0.80035,                0.52072,                0.98034,                 0.9807,                 0.9725,                0.99257,                0.86327,                0.59441,                0.33843,                0.87441,             0.00027988,             0.00027988,             0.00027988
                    142,                0.80493,                0.52547,                0.97899,                0.98733,                 0.9741,                0.99307,                0.86728,                0.58838,                0.33172,                 0.8712,              0.0002675,              0.0002675,              0.0002675
                    143,                0.79729,                0.51176,                0.98324,                0.97248,                  0.975,                0.99279,                0.86241,                 0.5955,                0.33721,                  0.875,             0.00025513,             0.00025513,             0.00025513
                    144,                0.79773,                0.50651,                0.97554,                0.97469,                  0.975,                0.99231,                0.86757,                0.58774,                0.33594,                0.87224,             0.00024275,             0.00024275,             0.00024275
                    145,                 0.7977,                0.50712,                0.97406,                0.98213,                 0.9725,                0.99268,                0.86474,                0.59718,                0.33784,                0.87742,             0.00023037,             0.00023037,             0.00023037
                    146,                0.78847,                0.51346,                0.98135,                0.98062,                 0.9725,                0.99203,                0.87123,                0.58359,                0.33259,                0.87046,               0.000218,               0.000218,               0.000218
                    147,                0.78826,                 0.5037,                0.97608,                0.98417,                   0.97,                0.99259,                0.87186,                0.58647,                0.32644,                0.87076,             0.00020562,             0.00020562,             0.00020562
                    148,                0.79613,                0.49937,                0.97771,                 0.9857,                  0.975,                0.99234,                0.87406,                0.57759,                0.32505,                0.86982,             0.00019325,             0.00019325,             0.00019325
                    149,                0.77688,                0.50479,                0.96903,                0.97847,                 0.9775,                0.99276,                0.86904,                0.59434,                0.32965,                 0.8734,             0.00018088,             0.00018088,             0.00018088
                    150,                0.78263,                0.50338,                0.97734,                0.98834,                 0.9725,                0.99275,                0.87363,                0.57908,                0.32603,                0.86698,              0.0001685,              0.0001685,              0.0001685
